emp_no,first_name,last_name,title,from_date,to_date
10009,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01
10020,Mayuko,Warwick,Engineer,1997-12-30,9999-01-01
10022,Shahaf,Famili,Engineer,1999-09-03,9999-01-01
10047,Zvonko,Nyanchama,Senior Engineer,1998-03-31,9999-01-01
10063,Gino,Leonhardt,Senior Engineer,1989-04-08,9999-01-01
10066,Kwee,Schusler,Senior Engineer,1998-02-25,9999-01-01
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,9999-01-01
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01
10097,Remzi,Waschkowski,Senior Staff,1996-09-14,9999-01-01
10106,Eben,Aingworth,Senior Engineer,1997-10-26,9999-01-01
10127,Subir,Baja,Senior Engineer,1991-05-17,9999-01-01
10163,Karsten,Szmurlo,Senior Staff,1992-02-02,9999-01-01
10219,Genta,Kolvik,Senior Staff,1993-03-31,9999-01-01
10240,Remko,Maccarone,Engineer,1998-10-06,9999-01-01
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01
10355,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01
10356,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01
10387,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01
10413,Danel,Impagliazzo,Senior Staff,1997-12-26,9999-01-01
10418,Candida,Porotnikoff,Staff,1996-10-04,9999-01-01
10429,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01
10451,Bodh,Ranta,Senior Engineer,1998-03-12,9999-01-01
10477,Guoxiang,Trogemann,Senior Engineer,2002-05-26,9999-01-01
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,9999-01-01
10503,Dannz,Pell,Engineer,1997-03-13,9999-01-01
10529,Ymte,Yetto,Assistant Engineer,1997-07-04,9999-01-01
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01
10593,Falguni,Kenevan,Senior Engineer,1999-09-12,9999-01-01
10683,Guiseppe,Stranks,Senior Engineer,1997-06-23,9999-01-01
10696,Unal,Fendler,Technique Leader,1991-09-09,9999-01-01
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01
10712,Uma,Koprowski,Senior Engineer,2001-08-18,9999-01-01
10814,Nidapan,Dymetman,Senior Staff,1998-07-17,9999-01-01
10826,Arnd,Anandan,Senior Engineer,1993-01-22,9999-01-01
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01
10846,Tokuyasu,Serre,Senior Engineer,1995-01-17,9999-01-01
10847,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01
10858,Kenroku,Gonthier,Senior Engineer,2002-01-01,9999-01-01
10871,Aram,Gilg,Staff,1999-06-16,9999-01-01
10872,Karoline,Speel,Senior Staff,1996-09-05,9999-01-01
10873,Sukumar,Wegerle,Staff,1994-03-23,9999-01-01
10878,Lakshmi,Deville,Staff,1997-04-25,9999-01-01
10883,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01
10906,Munehiro,Carrere,Staff,1998-10-18,9999-01-01
10913,Narain,Thummel,Staff,1998-10-25,9999-01-01
10942,Toshimitsu,Larfeldt,Engineer,1996-01-21,9999-01-01
10944,Remko,Zyda,Senior Engineer,1995-09-07,9999-01-01
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01
10987,Flemming,Baezner,Engineer,1997-05-21,9999-01-01
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,9999-01-01
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01
11050,Elvis,Katiyar,Senior Staff,1991-05-06,9999-01-01
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01
11064,Shawna,Vieri,Senior Engineer,2002-02-27,9999-01-01
11070,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01
11079,Piyush,Garigliano,Senior Engineer,2001-05-26,9999-01-01
